task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,shn,125,1,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8421052631578947,0.8792569659442725,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8235294117647058,0.8229166666666667,0.8253676470588235,,,,0.6565656565656566
pds,ica,shn,125,2,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8285714285714286,0.825,0.8285714285714286,0.825,0.8285714285714286,0.8285714285714286,0.825,0.8285714285714286,0.8285714285714286,0.825,0.8285714285714286,,,,0.6499999999999999
pds,ica,shn,125,3,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8823529411764706,0.9047619047619048,0.8823529411764706,0.8823529411764706,0.9100346020761245,0.8823529411764706,0.9047619047619048,0.8823529411764706,0.8823529411764706,0.880701754385965,0.8840041279669762,,,,0.7647058823529411
pds,ica,shn,125,4,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8210526315789474,0.8235294117647058,0.8210526315789474,0.8235294117647058,0.8235294117647058,0.8210526315789474,0.8235294117647058,0.8235294117647058,0.8210526315789474,0.8235294117647058,,,,0.6421052631578947
pds,ica,shn,125,5,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7647058823529411,0.7362637362637363,0.7647058823529411,0.7549407114624507,0.7614508253894444,0.7647058823529411,0.7362637362637363,0.7647058823529411,0.7647058823529411,0.7424242424242424,0.7602495543672015,,,,0.4867924528301887
pds,ica,shn,125,6,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8823529411764706,0.880701754385965,0.8823529411764706,0.880701754385965,0.8823529411764706,0.8823529411764706,0.880701754385965,0.8823529411764706,0.8823529411764706,0.880701754385965,0.8823529411764706,,,,0.7614035087719299
pds,ica,shn,125,7,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7352941176470589,0.7417582417582418,0.7352941176470589,0.7291666666666667,0.7536764705882353,0.7352941176470589,0.7417582417582418,0.7352941176470589,0.7352941176470589,0.7294429708222812,0.7388048057419254,,,,0.4631578947368421
pds,ica,shn,125,8,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7352941176470589,0.7140350877192982,0.7352941176470589,0.7541666666666667,0.7487745098039217,0.7352941176470589,0.7140350877192982,0.7352941176470589,0.7352941176470589,0.7153488372093023,0.7242134062927497,,,,0.4436363636363636
pds,ica,shn,125,9,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8131868131868132,0.8235294117647058,0.8131868131868132,0.8235294117647058,0.8235294117647058,0.8131868131868132,0.8235294117647058,0.8235294117647058,0.8131868131868132,0.8235294117647058,,,,0.6263736263736264
pds,ica,shn,125,10,4,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.5882352941176471,0.6035087719298246,0.5882352941176471,0.6080586080586081,0.6179702650290886,0.5882352941176471,0.6035087719298246,0.5882352941176471,0.5882352941176471,0.5868055555555556,0.5839460784313726,,,,0.19865319865319853
pds,ica,shn,125,1,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.8040293040293041,0.7941176470588235,0.7881944444444444,0.8118872549019607,0.7941176470588235,0.8040293040293041,0.7941176470588235,0.7941176470588235,0.7895667550839964,0.7968481822437198,,,,0.5824561403508772
pds,ica,shn,125,2,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8571428571428571,0.8583333333333334,0.8571428571428571,0.8536184210526316,0.8594924812030076,0.8571428571428571,0.8583333333333334,0.8571428571428571,0.8571428571428571,0.8552522746071134,0.8576155027767932,,,,0.7107438016528925
pds,ica,shn,125,3,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8278388278388278,0.8235294117647058,0.8140350877192982,0.8330237358101135,0.8235294117647058,0.8278388278388278,0.8235294117647058,0.8235294117647058,0.8178571428571428,0.8254201680672267,,,,0.6370106761565837
pds,ica,shn,125,4,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.7807017543859649,0.7941176470588235,0.803030303030303,0.7994652406417112,0.7941176470588235,0.7807017543859649,0.7941176470588235,0.7941176470588235,0.7850045167118338,0.7902120197672564,,,,0.5734767025089605
pds,ica,shn,125,5,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8529411764705882,0.8516483516483516,0.8529411764705882,0.8428571428571429,0.8563025210084033,0.8529411764705882,0.8516483516483516,0.8529411764705882,0.8529411764705882,0.8464317976513098,0.853871087730485,,,,0.6931407942238267
pds,ica,shn,125,6,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8350877192982455,0.8235294117647058,0.8350877192982455,0.8466460268317855,0.8235294117647058,0.8350877192982455,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,,,,0.651877133105802
pds,ica,shn,125,7,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.7893772893772895,0.7941176470588235,0.7821428571428571,0.798109243697479,0.7941176470588235,0.7893772893772895,0.7941176470588235,0.7941176470588235,0.7850045167118338,0.7954195228226792,,,,0.5703971119133573
pds,ica,shn,125,8,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.9117647058823529,0.9140350877192982,0.9117647058823529,0.9097222222222222,0.9138071895424836,0.9117647058823529,0.9140350877192982,0.9117647058823529,0.9117647058823529,0.9110723626852659,0.9119954869480486,,,,0.8222996515679443
pds,ica,shn,125,9,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.8186813186813187,0.7941176470588235,0.8020833333333333,0.8339460784313725,0.7941176470588235,0.8186813186813187,0.7941176470588235,0.7941176470588235,0.7925021795989537,0.7968100928252732,,,,0.5938566552901023
pds,ica,shn,125,10,5,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7352941176470589,0.7210526315789474,0.7352941176470589,0.7386363636363636,0.7372994652406417,0.7352941176470589,0.7210526315789474,0.7352941176470589,0.7352941176470589,0.7235772357723578,0.7302725968436155,,,,0.4516129032258064
pds,ica,shn,125,1,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.8333333333333333,0.7941176470588235,0.825,0.8661764705882353,0.7941176470588235,0.8333333333333333,0.7941176470588235,0.7941176470588235,0.793939393939394,0.7953654188948307,,,,0.6046511627906976
pds,ica,shn,125,2,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8285714285714286,0.8416666666666667,0.8285714285714286,0.837171052631579,0.8515037593984963,0.8285714285714286,0.8416666666666667,0.8285714285714286,0.8285714285714286,0.8284313725490196,0.8291316526610645,,,,0.6612903225806452
pds,ica,shn,125,3,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8421052631578947,0.8792569659442725,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8235294117647058,0.8229166666666667,0.8253676470588235,,,,0.6565656565656566
pds,ica,shn,125,4,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8529411764705882,0.8543859649122807,0.8529411764705882,0.8506944444444444,0.855187908496732,0.8529411764705882,0.8543859649122807,0.8529411764705882,0.8529411764705882,0.85178727114211,0.8533258115800811,,,,0.7038327526132404
