task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,dcn,125,2,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7567934782608695,0.6996553884711779,0.7567934782608695,0.7804307888628539,0.7705725740146329,0.7567934782608695,0.6996553884711779,0.7567934782608695,0.7567934782608695,0.7087210780574624,0.7370178755016085,0.8358787593984963,0.8358787593984963,0.8358787593984963,0.4362976655028411
pds,ica,dcn,125,3,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7747625508819539,0.7028251963127348,0.7747625508819539,0.7465297230003112,0.7659442368836574,0.7747625508819539,0.7028251963127348,0.7747625508819539,0.7747625508819539,0.7161069651741294,0.7639068902434909,0.8516985319221577,0.8516985319221577,0.8516985319221577,0.43723377830114907
pds,ica,dcn,125,4,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7740585774058577,0.7131719631719632,0.7740585774058577,0.8216126061088844,0.8030892828555415,0.7740585774058577,0.7131719631719632,0.7740585774058577,0.7740585774058577,0.7241416981741493,0.7521278829237301,0.8673811173811173,0.8673811173811173,0.8673811173811173,0.47084870848708493
pds,ica,dcn,125,5,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7675324675324675,0.675,0.7675324675324675,0.7159634468480045,0.7539495558343277,0.7675324675324675,0.675,0.7675324675324675,0.7675324675324675,0.6878701206352658,0.755450003607185,0.7333057851239669,0.7333057851239669,0.7333057851239669,0.38062283737024216
pds,ica,dcn,125,6,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.695137976346912,0.6508467309753483,0.695137976346912,0.7058605558264262,0.7022341846642547,0.695137976346912,0.6508467309753483,0.695137976346912,0.695137976346912,0.6493477604588715,0.6724926332168265,0.7355627009646302,0.7355627009646302,0.7355627009646302,0.32354518843200664
pds,ica,dcn,125,7,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.8083670715249662,0.6943438914027149,0.8083670715249662,0.8398666950725873,0.8222622325665336,0.8083670715249662,0.6943438914027149,0.8083670715249662,0.8083670715249662,0.719551589586132,0.7832346329907158,0.7993386703793943,0.7993386703793943,0.7993386703793943,0.45917412802352
pds,ica,dcn,125,8,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.8005540166204986,0.771127130917417,0.8005540166204986,0.8011448906782175,0.8007937916004425,0.8005540166204986,0.771127130917417,0.8005540166204986,0.8005540166204986,0.7801405841601746,0.7953578701760525,0.9114622523200401,0.9114622523200401,0.9114622523200401,0.5631780177303475
pds,ica,dcn,125,9,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7833553500660502,0.6741560087567693,0.7833553500660502,0.7866179060002709,0.7847916175740942,0.7833553500660502,0.6741560087567693,0.7833553500660502,0.7833553500660502,0.6928003008947661,0.7577972339982425,0.855620298586078,0.855620298586078,0.855620298586078,0.405398674278708
pds,ica,dcn,125,10,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.730820995962315,0.7121153583928004,0.730820995962315,0.7185626639190709,0.7281106109879294,0.730820995962315,0.7121153583928004,0.730820995962315,0.730820995962315,0.714625902596405,0.7288080465044052,0.8205460357862522,0.8205460357862522,0.8205460357862522,0.42978181287941
pds,ica,dcn,125,1,2,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.6895161290322581,0.5,0.6895161290322581,0.34475806451612906,0.4754324921956296,0.6895161290322581,0.5,0.6895161290322581,0.6895161290322581,0.4081145584725537,0.5628031411194088,0.8004523092242392,0.8004523092242392,0.8004523092242392,0.0
pds,ica,dcn,125,2,2,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7133152173913043,0.6363095238095238,0.7133152173913043,0.7585917418242871,0.7433260937396033,0.7133152173913043,0.6363095238095238,0.7133152173913043,0.7133152173913043,0.6301551578370783,0.6720926090735935,0.6944783834586465,0.6944783834586465,0.6944783834586465,0.30952550330796047
pds,ica,dcn,125,3,2,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7829036635006784,0.7600290201433937,0.7829036635006784,0.7492636229749632,0.7886787777540201,0.7829036635006784,0.7600290201433937,0.7829036635006784,0.7829036635006784,0.7539026629935721,0.7851962327107262,0.8370604301809491,0.8370604301809491,0.8370604301809491,0.5082158645424973
pds,ica,dcn,125,4,2,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7684797768479776,0.7636867636867637,0.7684797768479776,0.7557328255268758,0.7740498732235852,0.7684797768479776,0.7636867636867637,0.7684797768479776,0.7684797768479776,0.7586074018788636,0.7702499958079568,0.8777018777018777,0.8777018777018777,0.8777018777018777,0.5178758050795966
pds,ica,dcn,125,5,2,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.7935064935064935,0.7095454545454545,0.7935064935064935,0.7539944903581267,0.7836284927194018,0.7935064935064935,0.7095454545454545,0.7935064935064935,0.7935064935064935,0.7246753246753246,0.7836734693877552,0.7886115702479337,0.7886115702479337,0.7886115702479337,0.45307125307125307
pds,ica,dcn,125,6,2,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.8291721419185283,0.8183101107538406,0.8291721419185283,0.8257110477443884,0.8283987130527988,0.8291721419185283,0.8183101107538406,0.8291721419185283,0.8291721419185283,0.8213744041600463,0.8281912944017381,0.8942408002858163,0.8942408002858163,0.8942408002858163,0.6430066397228638
